omm_id	name	longitude	latitude
87022	Tartagal Aero	-63.82	-22.65
87178	Posadas Aero	-55.967	-27.391
87585	Buenos Aires	-58.484	-34.5902
87765	Bariloche Aero	-71.17	-41.15
